anio,mes,ciclo_laboral,day,dia_label,fin_de_semana,principo_mes,fin_de_mes,hora,noche,horario_bancario,delito_tipo,delito_subtipo,uso_arma,calle,cajeros_a_100,cajeros_a_200,banco,red,bancos_a_100,bancos_a_200,comisarias_a_100,comisarias_a_200,precio_m2_usd,densidad_pob,pct_hogares_nbi,barrio,comuna
2016,OCTUBRE,Ciclo laboral,5,MIERCOLES,no,si,no,8,no,no,Robo,Robo automotor,SI,CALLE,no,si,Banco Patagonia,BANELCO,no,si,no,no,2173,11405.94874230177,0.0036900369003690036,LINIERS,9
2016,OCTUBRE,Ciclo laboral,9,DOMINGO,si,no,no,6,si,no,Robo,Robo total,NO,AVENIDA,no,no,HSBC Bank Argentina,BANELCO,no,si,no,no,2030,NA,NA,MATADEROS,9
2016,OCTUBRE,Ciclo laboral,4,MARTES,no,si,no,20,si,no,Robo,Robo total,NO,CALLE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,2173,11168.229381469067,0.011494252873563218,LINIERS,9
2016,OCTUBRE,Ciclo laboral,11,MARTES,no,no,no,15,no,si,Robo,Robo automotor,SI,CALLE,no,no,Banco Itaú,BANELCO,no,no,no,no,2030,13383.134255104897,0.041666666666666664,MATADEROS,9
2016,OCTUBRE,Ciclo laboral,21,VIERNES,no,no,no,15,no,si,Robo,Robo total,SI,AVENIDA,no,no,Banco Santander Río,BANELCO,no,no,no,no,2121,18504.496990447988,0.005813953488372093,VILLA LURO,10
2016,OCTUBRE,Ciclo laboral,14,VIERNES,no,no,no,19,si,no,Robo,Robo total,NO,AVENIDA,no,no,HSBC Bank Argentina,BANELCO,no,no,no,no,2030,14268.467004578586,0.006756756756756757,MATADEROS,9
2016,OCTUBRE,Ciclo laboral,22,SABADO,si,no,no,9,no,no,Robo,Robo total,NO,CALLE,no,no,Banco Santander Río,BANELCO,no,no,no,no,2123,14405.438665352007,0.02416918429003021,SANTA RITA,11
2016,OCTUBRE,Ciclo laboral,3,LUNES,no,si,no,17,no,si,Robo,Robo total,NO,CALLE,no,no,Banco Santander Río,BANELCO,no,no,no,no,2123,13018.420414201908,0.021739130434782608,SANTA RITA,11
2016,OCTUBRE,Ciclo laboral,21,VIERNES,no,no,no,19,si,no,Robo,Robo total,NO,CALLE,no,no,Banco Santander Río,BANELCO,no,no,no,no,1690,13729.746461979454,0.023255813953488372,FLORESTA,10
2016,OCTUBRE,Ciclo laboral,27,JUEVES,no,no,si,20,si,no,Robo,Robo total,SI,CALLE,no,si,Banco Santander Río,BANELCO,no,no,no,no,1690,13729.746461979454,0.023255813953488372,FLORESTA,10
